id,Region/Country/Area,Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),Dummy Description
182,San Marino,12.7,27.8,551.8,0.03,0.02,0.02,94.8,San Marino is a country in the UN populations dataset.
183,Sao Tome and Principe,39.5,5.9,236.9,0.23,0.11,0.11,99.5,Sao Tome and Principe is a country in the UN populations dataset.
184,Saudi Arabia,25.9,5.3,16.9,36.41,15.43,20.98,136.0,Saudi Arabia is a country in the UN populations dataset.
185,Senegal,41.5,4.9,89.9,17.32,8.8,8.52,96.8,Senegal is a country in the UN populations dataset.
186,Serbia,14.4,27.1,94.1,7.22,3.76,3.46,92.1,Serbia is a country in the UN populations dataset.
187,Seychelles,23.1,13.1,234.4,0.11,0.05,0.06,111.2,Seychelles is a country in the UN populations dataset.
188,Sierra Leone,39.0,5.1,120.0,8.61,4.29,4.31,100.4,Sierra Leone is a country in the UN populations dataset.
189,Singapore,11.8,23.0,8749.2,5.98,2.85,3.13,109.6,Singapore is a country in the UN populations dataset.
190,Sint Maarten (Dutch part),11.0,19.7,1299.3,0.04,0.02,0.02,115.2,Sint Maarten (Dutch part) is a country in the UN populations dataset.
191,Slovakia,15.7,23.1,115.1,5.64,2.89,2.76,95.6,Slovakia is a country in the UN populations dataset.
192,Slovenia,15.1,27.7,105.3,2.12,1.05,1.07,101.1,Slovenia is a country in the UN populations dataset.
193,Solomon Islands,39.1,5.5,25.2,0.72,0.35,0.37,104.4,Solomon Islands is a country in the UN populations dataset.
194,Somalia,47.2,4.1,28.1,17.60,8.78,8.82,100.5,Somalia is a country in the UN populations dataset.
195,South Africa,28.6,8.7,49.1,59.89,30.73,29.17,94.9,South Africa is a country in the UN populations dataset.
196,South Sudan,43.9,4.8,19.3,10.91,5.51,5.4,98.1,South Sudan is a country in the UN populations dataset.
197,Spain,13.8,26.8,94.7,47.56,24.25,23.31,96.1,Spain is a country in the UN populations dataset.
198,Sri Lanka,22.8,16.7,348.2,21.83,11.32,10.51,92.9,Sri Lanka is a country in the UN populations dataset.
199,State of Palestine,38.8,5.5,872.1,5.25,2.63,2.62,99.6,State of Palestine is a country in the UN populations dataset.
200,Sudan,40.9,5.5,26.6,46.87,23.45,23.42,99.9,Sudan is a country in the UN populations dataset.
201,Suriname,26.2,11.4,4.0,0.62,0.31,0.31,99.1,Suriname is a country in the UN populations dataset.
202,Sweden,17.6,25.7,25.9,10.55,5.23,5.32,101.6,Sweden is a country in the UN populations dataset.
203,Switzerland,15.0,25.7,218.6,8.74,4.4,4.34,98.6,Switzerland is a country in the UN populations dataset.
204,Syrian Arab Republic,31.4,7.2,120.4,22.13,11.05,11.08,100.3,Syrian Arab Republic is a country in the UN populations dataset.
205,Tajikistan,36.3,6.2,69.6,9.95,4.94,5.01,101.3,Tajikistan is a country in the UN populations dataset.
206,Thailand,15.5,22.0,140.3,71.70,36.89,34.81,94.3,Thailand is a country in the UN populations dataset.
207,Timor-Leste,34.7,7.3,90.2,1.34,0.66,0.68,104.0,Timor-Leste is a country in the UN populations dataset.
208,Togo,40.0,5.1,162.7,8.85,4.4,4.45,101.1,Togo is a country in the UN populations dataset.
209,Tokelau,28.5,12.9,155.9,0.00,0.0,0.0,99.8,Tokelau is a country in the UN populations dataset.
210,Tonga,34.3,9.0,164.4,0.11,0.05,0.05,97.8,Tonga is a country in the UN populations dataset.
211,Trinidad and Tobago,19.0,17.2,298.4,1.53,0.78,0.76,97.3,Trinidad and Tobago is a country in the UN populations dataset.
212,Tunisia,24.8,13.7,79.5,12.36,6.26,6.1,97.5,Tunisia is a country in the UN populations dataset.
213,Turkmenistan,31.1,8.8,13.7,6.43,3.24,3.19,98.2,Turkmenistan is a country in the UN populations dataset.
214,Turks and Caicos Islands,16.7,15.6,48.1,0.05,0.02,0.02,101.4,Turks and Caicos Islands is a country in the UN populations dataset.
215,Tuvalu,31.7,11.1,377.1,0.01,0.01,0.01,105.2,Tuvalu is a country in the UN populations dataset.
216,Türkiye,23.2,12.7,110.9,85.34,42.58,42.76,100.4,Türkiye is a country in the UN populations dataset.
217,Uganda,44.8,2.9,236.5,47.25,23.85,23.4,98.1,Uganda is a country in the UN populations dataset.
218,Ukraine,15.4,26.5,68.5,39.70,21.47,18.23,84.9,Ukraine is a country in the UN populations dataset.
219,United Arab Emirates,15.2,3.5,132.9,9.44,2.89,6.55,226.3,United Arab Emirates is a country in the UN populations dataset.
220,United Kingdom,17.5,25.2,278.1,67.51,34.15,33.36,97.7,United Kingdom is a country in the UN populations dataset.
221,United Rep. of Tanzania,43.4,4.7,73.9,65.50,33.13,32.37,97.7,United Rep. of Tanzania is a country in the UN populations dataset.
222,United States Virgin Islands,19.2,27.7,284.2,0.10,0.05,0.05,87.3,United States Virgin Islands is a country in the UN populations dataset.
223,United States of America,18.0,23.4,37.0,338.29,170.79,167.5,98.1,United States of America is a country in the UN populations dataset.
224,Uruguay,19.1,20.8,19.8,3.42,1.76,1.66,94.0,Uruguay is a country in the UN populations dataset.
225,Uzbekistan,30.2,8.6,81.4,34.63,17.3,17.33,100.2,Uzbekistan is a country in the UN populations dataset.
226,Vanuatu,39.4,5.8,26.8,0.33,0.16,0.16,101.2,Vanuatu is a country in the UN populations dataset.
227,Venezuela (Boliv. Rep. of),27.6,12.9,30.9,28.30,14.3,14.0,97.8,Venezuela (Boliv. Rep. of) is a country in the UN populations dataset.
228,Viet Nam,22.4,13.8,313.3,98.19,49.69,48.5,97.6,Viet Nam is a country in the UN populations dataset.
229,Wallis and Futuna Islands,22.7,19.1,82.7,0.01,0.01,0.01,92.2,Wallis and Futuna Islands is a country in the UN populations dataset.
230,Western Sahara,24.3,9.4,2.2,0.58,0.26,0.32,123.2,Western Sahara is a country in the UN populations dataset.
231,Yemen,39.5,4.1,63.8,33.70,16.67,17.02,102.1,Yemen is a country in the UN populations dataset.
232,Zambia,42.9,3.0,26.9,20.02,10.14,9.88,97.4,Zambia is a country in the UN populations dataset.
233,Zimbabwe,40.6,4.8,42.2,16.32,8.61,7.71,89.4,Zimbabwe is a country in the UN populations dataset.
